name,gender,birth_date,birth_country,country,country_code,discipline,discipline_code,residence_country,height_m/ft
AKMENS Roberts,Male,1996-02-14,Latvia,Latvia,LAT,Canoe Sprint,CSP,NA,1.91/6'3''
AKOZ Simge Sebnem,Female,1991-04-23,Turkey,Turkey,TUR,Volleyball,VVO,NA,1.68/5'6''
AKTAS Ugur,Male,1995-10-10,NA,Turkey,TUR,Karate,KTE,NA,NA
AL ADAWI Issa Samir Hamed,Male,1999-03-20,Oman,Oman,OMA,Swimming,SWM,NA,NA
AL AHRACH Ali,Male,1984-07-05,Morocco,Morocco,MAR,Equestrian,EQU,NA,NA
AL ALAWI Mazoon,Female,1997-11-14,NA,Oman,OMA,Athletics,ATH,NA,NA
AL BAWWAB Yazan,Male,1999-10-30,NA,Palestine,PLE,Swimming,SWM,Canada,NA
AL FAIHAN Abdulrahman,Male,1986-06-24,Kuwait,Kuwait,KUW,Shooting,SHO,NA,NA
AL HARTHI Barakat,Male,1988-06-15,Oman,Oman,OMA,Athletics,ATH,Oman,NA
AL KHAFAJI Mohammed,Male,1994-02-20,Iraq,Iraq,IRQ,Rowing,ROW,NA,NA
AL KHATRI Hamed,Male,1985-05-24,Oman,Oman,OMA,Shooting,SHO,NA,NA
AL MANWARI Bashair Obaid,Female,1997-03-13,NA,Qatar,QAT,Athletics,ATH,NA,NA
AL OBAIDI Aker,Male,1999-09-21,NA,EOR,EOR,Wrestling,WRE,NA,NA
AL RASHEDI Mansour,Male,1984-12-04,Kuwait,Kuwait,KUW,Shooting,SHO,NA,NA
AL RUMAIHI Mohammed,Male,1989-03-03,Qatar,Qatar,QAT,Shooting,SHO,NA,1.87/6'1''
AL YAARI Ahmed,Male,2000-01-16,NA,Yemen,YEM,Athletics,ATH,NA,NA
AL YASSIN Mazen Moutan,Male,1996-07-08,NA,Saudi Arabia,KSA,Athletics,ATH,Saudi Arabia,NA
ALAKHVERDOVI Sakhil,Male,1999-01-09,NA,Georgia,GEO,Boxing,BOX,Georgia,1.60/5'2''
ALAME Haimro,Male,1990-06-08,NA,Israel,ISR,Athletics,ATH,NA,NA
ALAMIAN Nima,Male,1992-12-24,Islamic Republic of Iran,Islamic Republic of Iran,IRI,Table Tennis,TTE,NA,NA
ALAMRI Abdulelah,Male,1997-01-15,Saudi Arabia,Saudi Arabia,KSA,Football,FBL,NA,1.85/6'0''
ALARIE Elissa,Female,1986-01-31,NA,Canada,CAN,Rugby Sevens,RUG,Canada,1.68/5'6''
ALARZA Fernando,Male,1991-03-23,Spain,Spain,ESP,Triathlon,TRI,NA,NA
ALBA CASTILLO Rafael Yunier,Male,1993-08-12,NA,Cuba,CUB,Taekwondo,TKW,Cuba,NA
ALBARRACIN Matias,Male,1979-10-25,Brazil,Argentina,ARG,Equestrian,EQU,Argentina,NA
ALBAWARDI Zaid,Male,1997-01-26,NA,Saudi Arabia,KSA,Football,FBL,Saudi Arabia,1.91/6'3''
ALBAYRAK Vedat,Male,1993-06-04,Georgia,Turkey,TUR,Judo,JUD,NA,NA
ALBERS Felice,Female,1999-12-27,NA,Netherlands,NED,Hockey,HOC,Netherlands,NA
ALBERTARRIO Agustina,Female,1993-01-01,Argentina,Argentina,ARG,Hockey,HOC,NA,NA
ALBICY Andrew,Male,1990-03-21,France,France,FRA,Basketball,BKB,NA,1.78/5'10''
ALBRECHT Samuel,Male,1981-09-02,Brazil,Brazil,BRA,Sailing,SAL,Brazil,NA
ALBRIKAN Feras,Male,2000-05-14,NA,Saudi Arabia,KSA,Football,FBL,NA,1.81/5'11''
ALBUKHARI Amin,Male,1997-05-02,Saudi Arabia,Saudi Arabia,KSA,Football,FBL,NA,1.94/6'4''
ALDABBAGH Yasmeen,Female,1997-09-22,Great Britain,Saudi Arabia,KSA,Athletics,ATH,NA,NA
ALDASS Sanda,Female,1990-06-26,Syrian Arab Republic,EOR,EOR,Judo,JUD,Netherlands,NA
ALDAWSARI Khalifah,Male,1999-01-02,NA,Saudi Arabia,KSA,Football,FBL,NA,1.77/5'9''
ALDAWSARI Salem,Male,1991-08-19,Saudi Arabia,Saudi Arabia,KSA,Football,FBL,Saudi Arabia,1.71/5'7''
ALDERSEY Olympia,Female,1992-07-26,Australia,Australia,AUS,Rowing,ROW,NA,1.83/6'0''
ALEGRE BIOSCA David,Male,1984-09-06,Spain,Spain,ESP,Hockey,HOC,Spain,1.84/6'0''
ALEKSANDROVA Ekaterina,Female,1994-11-15,Russian Federation,ROC,ROC,Tennis,TEN,Czech Republic,1.76/5'9''
ALEKSANDROVA Kseniia,Female,2000-09-08,Uzbekistan,Uzbekistan,UZB,Rhythmic Gymnastics,GRY,Uzbekistan,1.71/5'7''
ALEKSANYAN Artur,Male,1991-10-21,Armenia,Armenia,ARM,Wrestling,WRE,Armenia,NA
ALEKSIC Maja,Female,1997-06-06,Serbia,Serbia,SRB,Volleyball,VVO,NA,1.88/6'2''
ALEKSIC Milan,Male,1986-05-13,Serbia,Serbia,SRB,Water Polo,WPO,NA,NA
