name,gender,birth_date,birth_country,country,country_code,discipline,discipline_code,residence_country,height_m/ft
VOS Marianne,Female,1987-05-13,Netherlands,Netherlands,NED,Cycling Road,CRD,Netherlands,NA
VOSS Sarah,Female,1999-10-21,Germany,Germany,GER,Artistic Gymnastics,GAR,Germany,1.67/5'5''
VOZNYAK Anastasiya,Female,1998-12-09,Ukraine,Ukraine,UKR,Rhythmic Gymnastics,GRY,Ukraine,1.70/5'6''
VRABCOVA NYVLTOVA Eva,Female,1986-02-06,Czech Republic,Czech Republic,CZE,Athletics,ATH,Czech Republic,NA
VRASTIL Miroslav,Male,1982-10-17,Czech Republic,Czech Republic,CZE,Rowing,ROW,Czech Republic,1.84/6'0''
VRINCEANU Ioana,Female,1994-03-07,Romania,Romania,ROU,Rowing,ROW,Romania,1.79/5'10''
VRLIC Josip,Male,1986-04-25,Croatia,Croatia,CRO,Water Polo,WPO,Croatia,1.98/6'5''
VRZALOVA Simona,Female,1988-04-07,NA,Czech Republic,CZE,Athletics,ATH,Czech Republic,NA
VUC Emilia Alina,Female,1993-10-04,Romania,Romania,ROU,Wrestling,WRE,Romania,1.54/5'0''
VUCENOVIC Marija,Female,1993-04-03,NA,Serbia,SRB,Athletics,ATH,Serbia,NA
VUKASINOVIC Sanja,Female,1997-10-22,Serbia,Serbia,SRB,Shooting,SHO,Serbia,NA
VUKCEVIC Nikolina,Female,2000-07-28,Montenegro,Montenegro,MNE,Handball,HBL,Montenegro,1.79/5'10''
VUKICEVIC Ante,Male,1993-02-24,Croatia,Croatia,CRO,Water Polo,WPO,France,1.87/6'1''
VUKOSAVLJEVIC Valeriane,Female,1994-04-29,France,France,FRA,Basketball,BKB,NA,1.84/6'0''
VUKOVIC Marija,Female,1992-01-21,Croatia,Montenegro,MNE,Athletics,ATH,Greece,NA
VUKSANOVIC Srdan,Male,1992-07-05,Serbia,Kazakhstan,KAZ,Water Polo,WPO,Kazakhstan,NA
VULPISI Clara,Female,1998-07-15,NA,Canada,CAN,Water Polo,WPO,NA,1.72/5'7''
VYAKHIREVA Anna,Female,1995-03-13,Russian Federation,ROC,ROC,Handball,HBL,Russian Federation,1.68/5'6''
VYAZOVKIN Alexander,Male,1997-04-09,NA,ROC,ROC,Rowing,ROW,Russian Federation,NA
VYORAL Tomas,Male,1992-09-28,Germany,Czech Republic,CZE,Basketball,BKB,Czech Republic,1.90/6'2''
VYSOCHANSKA Mariia,Female,2002-09-10,Ukraine,Ukraine,UKR,Rhythmic Gymnastics,GRY,Ukraine,1.72/5'7''
VYSTAVEL Frederic,Male,1993-08-29,NA,Denmark,DEN,Rowing,ROW,NA,1.98/6'5''
WADDILOVE Sean,Male,1997-06-19,NA,Ireland,IRL,Sailing,SAL,Ireland,NA
WADDLETON Ethan,Male,1996-11-23,Great Britain,Great Britain,GBR,Rugby Sevens,RUG,Great Britain,1.78/5'10''
WAFULA Stella,Female,1998-07-07,NA,Kenya,KEN,Rugby Sevens,RUG,NA,1.77/5'9''
WAGMAN Joey,Male,1991-07-25,United States of America,Israel,ISR,Baseball/Softball,BSB,NA,1.83/6'0''
WAGMAN Nick,Male,1973-07-31,Netherlands,United States of America,USA,Equestrian,EQU,United States of America,NA
WAGNER Anna-Maria,Female,1996-05-17,NA,Germany,GER,Judo,JUD,Germany,NA
WAGNER Benedikt,Male,1990-06-14,Germany,Germany,GER,Fencing,FEN,Germany,NA
WAGNER EHLINGER Nicolas,Male,1992-01-02,NA,Luxembourg,LUX,Equestrian,EQU,NA,NA
WAGNER Kristina,Female,1993-01-25,United States of America,United States of America,USA,Rowing,ROW,United States of America,1.83/6'0''
WAGNER Moritz,Male,1997-04-26,Germany,Germany,GER,Basketball,BKB,NA,2.11/6'11''
WAIDA Rio,Male,2000-01-25,Japan,Indonesia,INA,Surfing,SRF,Indonesia,NA
WAINE Ben,Male,2001-06-11,New Zealand,New Zealand,NZL,Football,FBL,NA,1.79/5'10''
WAINIQOLO Jiuta,Male,1999-03-10,NA,Fiji,FIJ,Rugby Sevens,RUG,NA,1.87/6'1''
WAIRIMU Jane Wacu,Female,1985-03-24,Kenya,Kenya,KEN,Volleyball,VVO,Kenya,1.74/5'8''
WAIS Ahmad Badreddin,Male,1991-01-15,Syrian Arab Republic,EOR,EOR,Cycling Road,CRD,Switzerland,NA
WAKELING Brandon Dean,Male,1994-02-02,Australia,Australia,AUS,Weightlifting,WLF,Australia,NA
WAKIMOTO Yuta,Male,1989-03-21,NA,Japan,JPN,Cycling Track,CTR,NA,NA
WALCOTT Keshorn,Male,1993-04-02,Trinidad and Tobago,Trinidad and Tobago,TTO,Athletics,ATH,NA,NA
WALCOTT-NOLAN Revee,Female,1995-03-06,NA,Great Britain,GBR,Athletics,ATH,NA,NA
WALCZYKIEWICZ Marta,Female,1987-08-01,NA,Poland,POL,Canoe Sprint,CSP,NA,1.65/5'4''
WALDMAN Dani G.,Female,1985-02-06,United States of America,Israel,ISR,Equestrian,EQU,Netherlands,NA
WALE Getnet,Male,2000-07-16,Ethiopia,Ethiopia,ETH,Athletics,ATH,NA,NA
WALES Lachlan,Male,1997-10-19,NA,Australia,AUS,Football,FBL,NA,1.79/5'10''
WALIHAN Sailike,Male,1992-03-03,People's Republic of China,People's Republic of China,CHN,Wrestling,WRE,NA,NA
WALIWARSHA Nimali,Female,1989-09-19,Sri Lanka,Sri Lanka,SRI,Athletics,ATH,NA,NA
WALKDEN Bianca,Female,1991-09-29,Great Britain,Great Britain,GBR,Taekwondo,TKW,Great Britain,NA
WALKER Kristina,Female,1996-05-09,NA,Canada,CAN,Rowing,ROW,Canada,1.79/5'10''
WALKER Kurt Anthony,Male,1995-03-07,NA,Ireland,IRL,Boxing,BOX,Great Britain,NA
WALL Jade,Female,1989-04-20,Australia,Australia,AUS,Baseball/Softball,BSB,NA,NA
WALLACE Bernadette,Female,1989-08-08,NA,Australia,AUS,Canoe Sprint,CSP,NA,1.86/6'1''
WALLACE James Brodie Burns,Male,1999-09-14,Canada,Canada,CAN,Hockey,HOC,Canada,1.95/6'4''
WALLACE Zachary,Male,1999-09-29,NA,Great Britain,GBR,Hockey,HOC,NA,1.72/5'7''
WALLER Jack,Male,1997-01-28,NA,Great Britain,GBR,Hockey,HOC,NA,1.73/5'8''
WALLI Susanne,Female,1996-05-05,NA,Austria,AUT,Athletics,ATH,Austria,NA
WALLS Matthew,Male,1998-04-20,NA,Great Britain,GBR,Cycling Track,CTR,NA,NA
WALRAVEN Nicole,Female,1994-12-12,Zimbabwe,South Africa,RSA,Hockey,HOC,South Africa,NA
WALSH Aidan,Male,1997-03-28,NA,Ireland,IRL,Boxing,BOX,Great Britain,1.83/6'0''
WALSH Alex,Female,2001-07-31,United States of America,United States of America,USA,Swimming,SWM,NA,NA
WALSH Julian Jrummi,Male,1996-09-18,Jamaica,Japan,JPN,Athletics,ATH,NA,NA
WALSH Keira,Female,1997-04-08,Great Britain,Great Britain,GBR,Football,FBL,Great Britain,1.67/5'5''
WALSH Michaela,Female,1993-06-05,Great Britain,Ireland,IRL,Boxing,BOX,Great Britain,1.68/5'6''
WALSH Tomas,Male,1992-03-01,New Zealand,New Zealand,NZL,Athletics,ATH,New Zealand,NA
WALSHE Ellen,Female,2001-09-29,NA,Ireland,IRL,Swimming,SWM,Ireland,NA
WALZ Marcus,Male,1994-10-03,NA,Spain,ESP,Canoe Sprint,CSP,NA,1.85/6'0''
WAMBUI Leah,Female,1989-05-21,NA,Kenya,KEN,Rugby Sevens,RUG,NA,1.71/5'7''
WAMMES Nick,Male,1999-10-21,NA,Canada,CAN,Cycling Track,CTR,NA,1.95/6'4''
WAN Jiyuan,Female,2002-07-13,NA,People's Republic of China,CHN,3x3 Basketball,BK3,NA,1.87/6'1''
WANAMAKER Madeleine,Female,1995-02-14,NA,United States of America,USA,Rowing,ROW,United States of America,1.80/5'10''
WANDERS Julien,Male,1996-03-18,NA,Switzerland,SUI,Athletics,ATH,NA,NA
WANDTKE Igor,Male,1990-11-03,Germany,Germany,GER,Judo,JUD,Germany,NA
WANG Chi-Lin,Male,1995-01-18,Chinese Taipei,Chinese Taipei,TPE,Badminton,BDM,Chinese Taipei,NA
WANG Chunyu,Female,1995-01-17,People's Republic of China,People's Republic of China,CHN,Athletics,ATH,People's Republic of China,NA
WANG Congkang,Male,1996-10-31,NA,People's Republic of China,CHN,Canoe Sprint,CSP,NA,1.88/6'2''
WANG Dapeng,Male,1996-12-03,NA,People's Republic of China,CHN,Archery,ARC,NA,NA
WANG Eugene,Male,1985-11-13,People's Republic of China,Canada,CAN,Table Tennis,TTE,NA,NA
WANG Fan,Female,1994-01-27,People's Republic of China,People's Republic of China,CHN,Beach Volleyball,VBV,People's Republic of China,1.88/6'2''
WANG Fei,Female,1988-07-12,NA,People's Republic of China,CHN,Rowing,ROW,People's Republic of China,NA
WANG Han,Female,1991-01-24,People's Republic of China,People's Republic of China,CHN,Diving,DIV,People's Republic of China,NA
WANG Hsing-Hao,Male,1999-06-05,Chinese Taipei,Chinese Taipei,TPE,Swimming,SWM,NA,NA
WANG Huan,Female,1997-10-08,People's Republic of China,People's Republic of China,CHN,Water Polo,WPO,NA,1.84/6'0''
WANG Huijing,Female,1980-04-19,People's Republic of China,United States of America,USA,Table Tennis,TTE,United States of America,NA
WANG Jianan,Male,1996-08-27,People's Republic of China,People's Republic of China,CHN,Athletics,ATH,People's Republic of China,NA
WANG Jianjiahe,Female,2002-07-17,People's Republic of China,People's Republic of China,CHN,Swimming,SWM,People's Republic of China,NA
WANG Kaihua,Male,1994-02-16,People's Republic of China,People's Republic of China,CHN,Athletics,ATH,People's Republic of China,NA
WANG Kuan-Hung,Male,2002-01-23,NA,Chinese Taipei,TPE,Swimming,SWM,Chinese Taipei,NA
WANG Lili,Female,1992-09-08,People's Republic of China,People's Republic of China,CHN,3x3 Basketball,BK3,People's Republic of China,1.76/5'9''
WANG Luyao,Female,1998-03-18,People's Republic of China,People's Republic of China,CHN,Shooting,SHO,NA,NA
WANG Manyu,Female,1999-02-09,People's Republic of China,People's Republic of China,CHN,Table Tennis,TTE,People's Republic of China,NA
WANG Mengjie,Female,1995-11-14,People's Republic of China,People's Republic of China,CHN,Volleyball,VVO,People's Republic of China,1.72/5'7''
WANG Na,Female,1994-08-05,People's Republic of China,People's Republic of China,CHN,Hockey,HOC,NA,NA
WANG Nan,Female,2000-09-25,NA,People's Republic of China,CHN,Canoe Sprint,CSP,NA,1.72/5'7''
WANG Qian,Female,1993-06-30,People's Republic of China,People's Republic of China,CHN,Shooting,SHO,NA,NA
WANG Qiang,Female,1992-01-14,People's Republic of China,People's Republic of China,CHN,Tennis,TEN,NA,NA
WANG Qianyi,Female,1997-01-16,People's Republic of China,People's Republic of China,CHN,Artistic Swimming,SWA,NA,NA
WANG Qin,Male,1994-05-08,People's Republic of China,People's Republic of China,CHN,Athletics,ATH,NA,NA
WANG Ruidong,Male,2000-07-08,NA,People's Republic of China,CHN,Cycling Road,CRD,NA,NA
WANG Shanshan,Female,1990-01-27,People's Republic of China,People's Republic of China,CHN,Football,FBL,People's Republic of China,1.69/5'6''
WANG Shuang,Female,1995-01-23,People's Republic of China,People's Republic of China,CHN,Football,FBL,People's Republic of China,1.65/5'4''
WANG Shun,Male,1994-02-11,People's Republic of China,People's Republic of China,CHN,Swimming,SWM,People's Republic of China,NA
WANG Siyu,Female,1995-10-16,NA,People's Republic of China,CHN,Basketball,BKB,NA,1.80/5'10''
WANG Tzu-Wei,Male,1995-02-27,Chinese Taipei,Chinese Taipei,TPE,Badminton,BDM,Chinese Taipei,NA
WANG Wanyu,Female,1997-02-14,People's Republic of China,People's Republic of China,CHN,Rugby Sevens,RUG,People's Republic of China,1.70/5'6''
WANG Xiaojing,Female,1992-05-03,People's Republic of China,People's Republic of China,CHN,Shooting,SHO,People's Republic of China,NA
WANG Xiaoxue,Female,1994-10-20,NA,People's Republic of China,CHN,Football,FBL,People's Republic of China,1.73/5'8''
WANG Xinxin,Female,1998-04-02,NA,People's Republic of China,CHN,Beach Volleyball,VBV,NA,1.92/6'3''
WANG Xinyan,Female,1991-04-26,People's Republic of China,People's Republic of China,CHN,Water Polo,WPO,NA,1.80/5'10''
WANG Yan,Female,1991-08-22,People's Republic of China,People's Republic of China,CHN,Football,FBL,NA,1.73/5'8''
WANG Yang,Male,1993-07-09,NA,People's Republic of China,CHN,Sailing,SAL,NA,NA
WANG Yang,Male,1994-09-24,People's Republic of China,Slovakia,SVK,Table Tennis,TTE,France,NA
WANG Yanwen,Female,1999-03-27,NA,People's Republic of China,CHN,Football,FBL,NA,1.67/5'5''
WANG Yi Lyu,Male,1994-11-08,People's Republic of China,People's Republic of China,CHN,Badminton,BDM,People's Republic of China,NA
WANG Ying,Female,1997-11-18,NA,People's Republic of China,CHN,Football,FBL,NA,1.70/5'6''
WANG Yi-Ta,Male,1991-08-28,Chinese Taipei,Chinese Taipei,TPE,Karate,KTE,Chinese Taipei,NA
WANG Yu,Male,1991-08-18,People's Republic of China,People's Republic of China,CHN,Athletics,ATH,People's Republic of China,NA
WANG Yuanyuan,Female,1997-07-14,People's Republic of China,People's Republic of China,CHN,Volleyball,VVO,People's Republic of China,1.95/6'4''
WANG Yuwei,Female,1991-07-16,People's Republic of China,People's Republic of China,CHN,Rowing,ROW,People's Republic of China,NA
WANG Zheng,Female,1987-12-14,People's Republic of China,People's Republic of China,CHN,Athletics,ATH,NA,NA
WANG Zhouyu,Female,1994-05-13,People's Republic of China,People's Republic of China,CHN,Weightlifting,WLF,People's Republic of China,NA
WANG Zifeng,Female,1997-09-12,NA,People's Republic of China,CHN,Rowing,ROW,NA,NA
WANG Zijie,Male,1996-07-15,NA,People's Republic of China,CHN,Fencing,FEN,NA,NA
WANG Zongyuan,Male,2001-10-24,People's Republic of China,People's Republic of China,CHN,Diving,DIV,People's Republic of China,NA
WANGCHAROEN Kantaphon,Male,1998-09-18,NA,Thailand,THA,Badminton,BDM,Thailand,NA
WANGER Ben,Male,1997-04-07,United States of America,Israel,ISR,Baseball/Softball,BSB,NA,1.90/6'2''
WANK Lukas,Male,1997-01-19,Germany,Germany,GER,Basketball,BKB,Germany,1.99/6'6''
WANNE Hampus,Male,1993-12-10,Denmark,Sweden,SWE,Handball,HBL,Germany,1.85/6'0''
WANSER Luise,Female,1997-06-07,Germany,Germany,GER,Sailing,SAL,Germany,1.70/5'6''
WARASIHA Kachakorn,Female,1994-06-27,NA,Thailand,THA,Judo,JUD,Japan,NA
WARBRICK William,Male,1998-03-06,NA,New Zealand,NZL,Rugby Sevens,RUG,NA,1.94/6'4''
WARD McLain,Male,1975-10-17,United States of America,United States of America,USA,Equestrian,EQU,United States of America,NA
WARD Samuel Ian,Male,1990-12-24,Great Britain,Great Britain,GBR,Hockey,HOC,Great Britain,1.78/5'10''
WARDENBURG Nout,Male,1997-02-18,NA,Netherlands,NED,Athletics,ATH,NA,1.86/6'1''
WARDLEY Keyara,Female,2000-01-27,NA,Canada,CAN,Rugby Sevens,RUG,NA,1.67/5'5''
WARE Pamela,Female,1993-02-12,Canada,Canada,CAN,Diving,DIV,Canada,1.61/5'3''
WARE Regan,Male,1994-08-07,NA,New Zealand,NZL,Rugby Sevens,RUG,New Zealand,1.88/6'2''
WARHOLM Karsten,Male,1996-02-28,Norway,Norway,NOR,Athletics,ATH,Norway,NA
WARNER Damian,Male,1989-11-04,Canada,Canada,CAN,Athletics,ATH,Canada,NA
WARREN Portious,Female,1996-03-02,NA,Trinidad and Tobago,TTO,Athletics,ATH,United States of America,NA
WARRER Jonas,NA,NA,NA,Denmark,DEN,NA,SAL,NA,NA
WARWICK Clare,Female,1987-05-18,Australia,Australia,AUS,Baseball/Softball,BSB,NA,NA
WASHINGTON Haleigh,Female,1995-09-22,United States of America,United States of America,USA,Volleyball,VVO,Italy,1.90/6'2''
WASICK Katarzyna,Female,1992-03-22,Poland,Poland,POL,Swimming,SWM,United States of America,NA
WASSEN Christina,NA,NA,NA,Germany,GER,NA,DIV,NA,NA
WASSEN Elena,Female,2000-11-01,Germany,Germany,GER,Diving,DIV,Germany,1.75/5'8''
WASTENEYS Avalon,Female,1997-08-31,Canada,Canada,CAN,Rowing,ROW,Canada,1.85/6'0''
WATANABE Hugh,Male,1998-12-23,United States of America,Japan,JPN,Basketball,BKB,Japan,2.07/6'9''
WATANABE Jin,Male,1990-01-17,Japan,Japan,JPN,Handball,HBL,NA,NA
WATANABE Kanako,Female,1996-11-15,Japan,Japan,JPN,Swimming,SWM,Japan,1.67/5'5''
WATANABE Kiyomi,Female,1996-08-25,Philippines,Philippines,PHI,Judo,JUD,Japan,NA
WATANABE Kota,Male,1996-10-30,Japan,Japan,JPN,Hockey,HOC,NA,NA
WATANABE Yuta,Male,1997-06-13,Japan,Japan,JPN,Badminton,BDM,NA,NA
WATANABE Yuta,Male,1994-10-13,Japan,Japan,JPN,Basketball,BKB,NA,2.06/6'9''
WATERHOUSE Jason,Male,1991-11-08,Australia,Australia,AUS,Sailing,SAL,Australia,NA
WATHELET Gregory,Male,1980-09-10,Belgium,Belgium,BEL,Equestrian,EQU,Belgium,NA
WATKINS Chloe,NA,NA,NA,Ireland,IRL,NA,HOC,NA,NA
WATKINS Daniel,Male,1995-11-21,Australia,Australia,AUS,Canoe Slalom,CSL,Australia,NA
WATNDAL Erik,Male,1979-08-27,Norway,Norway,NOR,Shooting,SHO,Norway,1.82/5'11''
WATRIN Julien,Male,1992-06-27,NA,Belgium,BEL,Athletics,ATH,NA,NA
WATSON Heather,Female,1992-05-19,Great Britain,Great Britain,GBR,Tennis,TEN,NA,1.58/5'2''
WATSON Sage,Female,1994-06-20,Canada,Canada,CAN,Athletics,ATH,United States of America,NA
WATSON Sam,Male,1985-12-28,Ireland,Ireland,IRL,Equestrian,EQU,NA,NA
WATSON Tanya,Female,2001-12-24,Great Britain,Ireland,IRL,Diving,DIV,Great Britain,1.70/5'6''
WATTEL Marie,Female,1997-06-02,France,France,FRA,Swimming,SWM,Great Britain,NA
WATTS Caleb,Male,2002-01-16,Great Britain,Australia,AUS,Football,FBL,NA,1.71/5'7''
WAUTERS Ann,Female,1980-10-12,Belgium,Belgium,BEL,Basketball,BKB,Belgium,1.95/6'4''
WAWAK Bartlomiej,Male,1993-08-25,Poland,Poland,POL,Cycling Mountain Bike,MTB,NA,1.79/5'10''
WEARN Matt,Male,1995-09-30,NA,Australia,AUS,Sailing,SAL,Australia,NA
WEBBER Joe,Male,1993-08-27,New Zealand,New Zealand,NZL,Rugby Sevens,RUG,NA,1.86/6'1''
WEBER Julian,Male,1994-08-29,Germany,Germany,GER,Athletics,ATH,NA,NA
WEBER Marc,Male,1997-09-05,Germany,Germany,GER,Rowing,ROW,Germany,1.91/6'3''
WEBER Michelle,Female,1996-09-28,South Africa,South Africa,RSA,Marathon Swimming,OWS,South Africa,NA
WEBER Philipp,Male,1992-09-15,Germany,Germany,GER,Handball,HBL,NA,1.94/6'4''
WEBSTER Rowie,Female,1987-12-27,Australia,Australia,AUS,Water Polo,WPO,Australia,NA
WEBSTER Sam,Male,1991-07-16,NA,New Zealand,NZL,Cycling Track,CTR,NA,NA
WEDDERBURN Jordan,Female,2002-12-30,South Africa,South Africa,RSA,Water Polo,WPO,South Africa,NA
WEERTMAN Ferry,NA,NA,NA,Netherlands,NED,NA,OWS,NA,NA
WEGER Svenja,Female,1993-09-04,Germany,Germany,GER,Sailing,SAL,Germany,1.73/5'8''
WEGMAN Martina,Female,1989-06-13,NA,Netherlands,NED,Canoe Slalom,CSL,NA,NA
WEGNEZ Victor Nicky B,Male,1995-12-25,NA,Belgium,BEL,Hockey,HOC,Belgium,NA
WEI Chun-Heng,Male,1994-07-06,NA,Chinese Taipei,TPE,Archery,ARC,NA,NA
WEI Meng,Female,1989-06-14,People's Republic of China,People's Republic of China,CHN,Shooting,SHO,NA,NA
WEI Mengxi,Female,1994-02-16,People's Republic of China,People's Republic of China,CHN,Sailing,SAL,NA,NA
WEI Shaoxuan,Male,2000-11-22,NA,People's Republic of China,CHN,Archery,ARC,NA,NA
WEI Yongli,Female,1991-10-11,People's Republic of China,People's Republic of China,CHN,Athletics,ATH,NA,NA
WEIGAND Justus,Male,2000-04-20,NA,Germany,GER,Hockey,HOC,NA,1.86/6'1''
WEIGHTMAN Lisa,Female,1979-01-16,Australia,Australia,AUS,Athletics,ATH,NA,NA
WEINHOLD Steffen,Male,1986-07-19,Germany,Germany,GER,Handball,HBL,NA,1.91/6'3''
WEINSTEIN Domenic,Male,1994-08-27,NA,Germany,GER,Cycling Track,CTR,NA,1.87/6'1''
WEIR Caroline,Female,1995-06-20,Great Britain,Great Britain,GBR,Football,FBL,Great Britain,1.72/5'7''
WEIR Jillian,Female,1993-02-09,NA,Canada,CAN,Athletics,ATH,NA,NA
WEIR Zane,Male,1995-09-07,South Africa,Italy,ITA,Athletics,ATH,NA,NA
WEIS Anna,Female,1998-03-24,United States of America,United States of America,USA,Sailing,SAL,United States of America,1.75/5'8''
WEISS Anders,Male,1992-11-05,United States of America,United States of America,USA,Rowing,ROW,NA,1.93/6'3''
WEISS Zack,Male,1992-06-16,United States of America,Israel,ISR,Baseball/Softball,BSB,United States of America,1.90/6'2''
WEISSENFELD Johannes,Male,1994-08-19,Germany,Germany,GER,Rowing,ROW,Germany,1.99/6'6''
WEISSHAIDINGER Lukas,Male,1992-02-20,Austria,Austria,AUT,Athletics,ATH,NA,NA
WEISZ Alison Marie,Female,1995-05-22,United States of America,United States of America,USA,Shooting,SHO,NA,1.63/5'4''
WEITZEIL Abbey,Female,1996-12-03,United States of America,United States of America,USA,Swimming,SWM,United States of America,NA
WELDU Nazret,Female,1990-01-01,NA,Eritrea,ERI,Athletics,ATH,NA,NA
WELLBROCK Florian,Male,1997-08-19,Germany,Germany,GER,Marathon Swimming,OWS,Germany,NA
WELLBROCK Florian,Male,1997-08-19,Germany,Germany,GER,Swimming,SWM,Germany,NA
WELLEN Niklas,Male,1994-12-14,Germany,Germany,GER,Hockey,HOC,Germany,1.85/6'0''
WELSFORD Sam,Male,1996-01-19,NA,Australia,AUS,Cycling Track,CTR,NA,1.81/5'11''
WELTEJI Diribe,Female,2002-05-13,NA,Ethiopia,ETH,Athletics,ATH,NA,NA
WELTEN Lidewij Marsia Maria,Female,1990-07-16,Netherlands,Netherlands,NED,Hockey,HOC,Netherlands,NA
WEN Tzuyun,Female,1993-09-29,Chinese Taipei,Chinese Taipei,TPE,Karate,KTE,Chinese Taipei,NA
WERATSCHNIG Nadine,Female,1998-04-18,Austria,Austria,AUT,Canoe Slalom,CSL,NA,NA
WERRY Katrina,Female,1993-10-10,Australia,Australia,AUS,Rowing,ROW,NA,1.73/5'8''
WERTH Isabell,Female,1969-07-21,Germany,Germany,GER,Equestrian,EQU,Germany,NA
WESCHE Maddison-Lee,Female,1999-06-13,NA,New Zealand,NZL,Athletics,ATH,NA,NA
WESSOLLY Jessica-Bianca,Female,1996-12-11,Germany,Germany,GER,Athletics,ATH,Germany,NA
WESTBERG Johanna,Female,1990-04-06,Sweden,Sweden,SWE,Handball,HBL,Denmark,1.86/6'1''
WESTBROOK Jamie,Male,1995-06-18,United States of America,United States of America,USA,Baseball/Softball,BSB,United States of America,1.75/5'8''
WESTER Tess,Female,1993-05-19,Netherlands,Netherlands,NED,Handball,HBL,Denmark,1.78/5'10''
WESTON-WEBB Tatiana,Female,1996-05-09,Brazil,Brazil,BRA,Surfing,SRF,NA,NA
WETTSTEIN Bryce,Female,2004-01-10,United States of America,United States of America,USA,Skateboarding,SKB,United States of America,NA
WETTSTEIN Estelle,Female,1996-12-02,Switzerland,Switzerland,SUI,Equestrian,EQU,Switzerland,NA
WETTSTEIN Nicolas,Male,1981-03-30,Switzerland,Ecuador,ECU,Equestrian,EQU,NA,NA
WETZLAR Peter,Male,1997-02-27,NA,Zimbabwe,ZIM,Swimming,SWM,United States of America,NA
WEVERS Lieke,Female,1991-09-17,Netherlands,Netherlands,NED,Artistic Gymnastics,GAR,NA,1.67/5'5''
WEVERS Sanne,Female,1991-09-17,Netherlands,Netherlands,NED,Artistic Gymnastics,GAR,Netherlands,1.58/5'2''
WEYANT Emma,Female,2001-12-24,NA,United States of America,USA,Swimming,SWM,United States of America,NA
WHETTON Jacob Thomas,Male,1991-06-15,Australia,Australia,AUS,Hockey,HOC,Australia,NA
WHITE Belinda,Female,1988-07-18,Australia,Australia,AUS,Baseball/Softball,BSB,Australia,NA
WHITE Ellen,Female,1989-05-09,Great Britain,Great Britain,GBR,Football,FBL,Great Britain,1.70/5'6''
WHITE Emma,Female,1997-08-23,NA,United States of America,USA,Cycling Track,CTR,NA,1.65/5'4''
WHITE Felicity,Female,2000-09-25,NA,Australia,AUS,Rhythmic Gymnastics,GRY,NA,1.67/5'5''
WHITE Rhyan Elizabeth,Female,2000-01-25,United States of America,United States of America,USA,Swimming,SWM,NA,NA
WHITE Russell,Male,1992-06-04,Great Britain,Ireland,IRL,Triathlon,TRI,Great Britain,NA
WHITEBOOI Geronay,Female,1996-01-02,South Africa,South Africa,RSA,Judo,JUD,South Africa,NA
WHITEHEAD Emily,Female,2000-12-11,Australia,Australia,AUS,Artistic Gymnastics,GAR,NA,1.62/5'3''
WHITLOCK Max,Male,1993-01-13,Great Britain,Great Britain,GBR,Artistic Gymnastics,GAR,NA,1.67/5'5''
WHITNEY Kaylin,Female,1998-03-09,NA,United States of America,USA,Athletics,ATH,United States of America,1.75/5'8''
WHITTAKER Benjamin,Male,1997-06-06,Great Britain,Great Britain,GBR,Boxing,BOX,Great Britain,NA
WHITTLE Jacob,Male,2004-09-25,NA,Great Britain,GBR,Swimming,SWM,NA,NA
WHYTE Kye,Male,1999-09-21,Great Britain,Great Britain,GBR,Cycling BMX Racing,BMX,NA,NA
WHYTE Ronda,Female,1990-11-06,Jamaica,Jamaica,JAM,Athletics,ATH,NA,NA
WICKHAM Tom Joseph,Male,1990-05-26,Australia,Australia,AUS,Hockey,HOC,Australia,NA
WICKI Silvan,Male,1995-02-13,NA,Switzerland,SUI,Athletics,ATH,Switzerland,NA
WICKLER Clemens,Male,1995-04-28,Germany,Germany,GER,Beach Volleyball,VBV,Germany,1.90/6'2''
WIDDICOMBE Angus,Male,1994-08-31,NA,Australia,AUS,Rowing,ROW,NA,1.94/6'4''
WIDEMAN Natalie,Female,1992-01-11,Canada,Canada,CAN,Baseball/Softball,BSB,NA,1.60/5'2''
WIEBE Erica Elizabeth,Female,1989-06-13,Canada,Canada,CAN,Wrestling,WRE,Canada,NA
WIELGOSZ Anna,Female,1993-11-09,NA,Poland,POL,Athletics,ATH,NA,NA
WIELICZKO Marta,Female,1994-10-01,Poland,Poland,POL,Rowing,ROW,Poland,1.88/6'2''
WIENS Rylan,Male,2002-01-02,Canada,Canada,CAN,Diving,DIV,Canada,1.72/5'7''
WIERLING Damian,Male,1996-02-13,Germany,Germany,GER,Swimming,SWM,Germany,NA
WIERSMA Abe,Male,1994-08-14,NA,Netherlands,NED,Rowing,ROW,Netherlands,NA
WIERZBOWSKA Maria,Female,1995-02-13,Poland,Poland,POL,Rowing,ROW,Poland,1.73/5'8''
WIESIOLEK Pawel,Male,1991-08-13,NA,Poland,POL,Athletics,ATH,Poland,NA
WIESZCZEK KORDUS Agnieszka Jadwiga,Female,1983-03-22,Poland,Poland,POL,Wrestling,WRE,Poland,1.75/5'8''
WIET HENIN Magda,Female,1995-08-31,NA,France,FRA,Taekwondo,TKW,NA,NA
WIETEN Tone,Male,1994-03-17,NA,Netherlands,NED,Rowing,ROW,Netherlands,NA
WIFFEN Daniel,Male,2001-07-14,NA,Ireland,IRL,Swimming,SWM,Ireland,NA
WIGHTMAN Jake,Male,1994-07-11,Great Britain,Great Britain,GBR,Athletics,ATH,Great Britain,NA
