name,gender,birth_date,country_code,discipline,function,event
MARTIN LOZANO David,Male,1977-01-02,ESP,Water Polo,Head Coach,Men
MARTIN Paul,Male,1982-10-12,RSA,Water Polo,Head Coach,Men
MASHA Mario,Male,1982-07-22,RSA,Football,Head Coach,NA
MATSUNO Yoshiyuki,Male,1986-04-16,JPN,Basketball,Coach,NA
MATSUODANI Yasushi,Male,1977-09-20,JPN,Football,Head Coach,NA
MAYBURY Elena,Female,1985-10-17,USA,Football,Head Coach,NA
MAYONNADE Emmanuel,Male,1983-06-12,NED,Handball,Coach,Women
MAZZANTI Davide,Male,1976-10-15,ITA,Volleyball,Head Coach,Women
McCRORIE Christy,Female,1984-06-05,RSA,Hockey,Coach,NA
McLEOD Shane,Male,1968-09-04,BEL,Hockey,Head Coach,Men
MEDINA Bobby,Male,1963-09-24,NGR,Basketball,Coach,NA
MENDEZ Marcelo Rodolfo,Male,1964-06-20,ARG,Volleyball,Head Coach,Men
MENTOOR Delaine,Female,1993-05-26,RSA,Water Polo,Head Coach,Women
MERCEDES del ROSARIO Jose,Male,1964-03-19,DOM,Basketball,Coach,NA
MESTDAGH Philip,Male,1963-01-26,BEL,Basketball,Coach,Women
MEZHENINA Valeriia,Female,1965-03-04,UKR,Artistic Swimming,Coach,Team
MEZIANE Rachid,Male,1980-02-10,FRA,Basketball,Coach,NA
MIHAILOVIC Predrag,Male,1974-02-24,AUS,Water Polo,Head Coach,Women
MIREJOVSKY Michal,Male,1981-10-12,CZE,Basketball,Coach,NA
MIRET GARCIA Daniel,Male,1985-06-25,ESP,Basketball,Coach,NA
MIURA Keiko,Female,1975-03-16,JPN,Hockey,Coach,Women
MIYAKAWA Miya,Female,1974-12-12,JPN,Artistic Swimming,Coach,Duet
MIYAKAWA Miya,Female,1974-12-12,JPN,Artistic Swimming,Coach,Team
MLADENOVA Albena,Female,1964-06-10,AUT,Artistic Swimming,Coach,Duet
MOHAMED Sayeda,Female,1970-11-08,KSA,Football,Head Coach,NA
MOHAMMED Silifat,Female,1971-01-20,NGR,Basketball,Coach,NA
MONDELO Lucas,Male,1967-07-28,ESP,Basketball,Coach,Women
MONTICO Loredana,Female,1965-09-30,AUS,Artistic Swimming,Coach,Duet
MONTICO Loredana,Female,1965-09-30,AUS,Artistic Swimming,Coach,Team
MORIYASU Hajime,Male,1968-08-23,JPN,Football,Head Coach,Men
MOTOMIYA Makihiro,Male,1968-12-31,JPN,Water Polo,Head Coach,Women
MULATI Adilijiang,Male,1985-10-26,CHN,Basketball,Coach,NA
MULBERG Nate,Male,1992-01-05,ISR,Baseball/Softball,Coach,Baseball
MUNOZ Noe,Male,1970-12-03,MEX,Baseball/Softball,Coach,Baseball
MURATA Yoshinori,Male,1974-04-24,JPN,Baseball/Softball,Coach,Baseball
MWAPE Bruce,Male,1959-10-26,ZAM,Football,Head Coach,Women
"NAGAE Shoji",Male,1987-09-04,JPN,Volleyball,Head Coach,NA
"NAIDOO Taren",Female,1987-12-21,RSA,Hockey,Coach,Women
"NAKADA Kumi",Female,1965-09-03,JPN,Volleyball,Head Coach,Women
"NAKAGAICHI Yuichi",Male,1967-11-02,JPN,Volleyball,Head Coach,Men
NCUBE Mthandazo,Male,1981-04-10,RSA,Football,Head Coach,NA
NEVES Christophe,Male,1977-08-03,CIV,Football,Head Coach,NA
NISHIDA Takumi,Male,1991-09-01,JPN,Rugby Sevens,Head Coach,NA
NOTOANE David,Male,1969-02-07,RSA,Football,Head Coach,Men
OCA GAIA Miguel Angel,Male,1970-04-15,ESP,Water Polo,Head Coach,Women
ODAUDU Ogoh,Male,1981-08-03,NGR,Basketball,Coach,NA
OLOO Felix,Male,1984-11-11,KEN,Rugby Sevens,Head Coach,Women
OMOTO Yoji,Male,1967-06-26,JPN,Water Polo,Head Coach,Men
PAGAN CRISTOBAL Angel,Male,1964-10-31,PUR,Basketball,Coach,NA
PALERMI Giovanna,Female,1964-01-15,ITA,Baseball/Softball,Coach,Softball
PANTOJA Hernan,Male,1955-03-29,VEN,Volleyball,Head Coach,NA
PARADELO David,Male,1985-10-07,CAN,Water Polo,Head Coach,Women
PARRONDO Roberto,Male,1980-01-12,EGY,Handball,Coach,Men
PAUL Henry,Male,1974-02-10,CAN,Rugby Sevens,Head Coach,Men
PEDRERO Ofelia,Female,1988-03-28,MEX,Artistic Swimming,Coach,Duet
PEREIRA Paulo Jorge,Male,1965-03-21,POR,Handball,Coach,Men
PEREZ Jose,Male,1982-01-24,VEN,Basketball,Coach,NA
PIBIRI Rossella,Female,1982-04-21,ITA,Artistic Swimming,Coach,NA
PISKAREVA Ekaterina,Female,1971-02-26,ROC,Artistic Swimming,Coach,Team
PIZZOLINI Federico,Male,1964-05-09,ITA,Baseball/Softball,Head Coach,Softball
POPOVIC Bojana,Female,1979-11-20,MNE,Handball,Coach,Women
POPOVICH Gregg,Male,1949-01-28,USA,Basketball,Coach,Men
POROBIC Petar,Male,1957-05-28,CHN,Water Polo,Head Coach,Women
POTTER Anthony,Male,1972-05-11,AUS,Hockey,Coach,Men
POWELL Katrina,Female,1972-04-08,AUS,Hockey,Head Coach,Women
POWELL Neil,Male,1978-06-28,RSA,Rugby Sevens,Head Coach,Men
PRADO BRANAS Joaquin,Male,1976-03-17,ESP,Basketball,Coach,NA
PRIESTMAN Bev,Female,1986-04-29,CAN,Football,Head Coach,Women
RADOI Mirel,Male,1981-03-22,ROU,Football,Head Coach,Men
RECKINGER Xavier,Male,1983-12-20,GER,Hockey,Head Coach,Women
REID Graham John,Male,1964-04-09,IND,Hockey,Head Coach,Men
REQUENA PERICAS Judit,Female,1992-11-26,ESP,Artistic Swimming,Coach,Team
RETEGUI Carlos Jose,Male,1969-12-19,ARG,Hockey,Head Coach,Men
RETEGUI Carlos Jose,Male,1969-12-19,ARG,Hockey,Head Coach,Women
RIBERA ROMANS Jordi,Male,1963-03-05,ESP,Handball,Coach,Men
RIISE Hege,Female,1969-07-18,GBR,Football,Head Coach,Women
RILLIE John,Male,1971-11-04,AUS,Basketball,Coach,NA
RIPOLL Sylvain,Male,1971-08-15,FRA,Football,Head Coach,Men
RODRIGUEZ Eduardo Rafael,Male,1974-05-17,ARG,Volleyball,Head Coach,NA
ROEDL Henrik,Male,1969-03-04,GER,Basketball,Coach,Men
